Language,codes
Assamese,as
Bengali,bn
Bodo,bd
Dogri,do
English,en
Gujarati,gu
Hindi,hi
Kannada,kn
Kashmiri,ks
Konkani,kk
Maithili,mt
Malayalam,ml
Manipuri,mp
Marathi,mr
Nepali,ne
Odia,or
Punjabi,pa
Sanskrit,sa
Santhali,sn
Sindhi,sd
Tamil,ta
Telugu,te
Urdu,ur
